0;Jakiego koloru jest czerwony maluch?;Bialego;Czarnego;Ciemnoczerwonego;Czerwonego;1;5
1;Czego nie da sie zmoczyc?;Kubka;Niczego;Wody;Swetra;2,3;4
2;Jak na imie mial Napoleon?;Adam;Napoleon;Gabrysia;Fryderyk;1,2,3;3
3;Statek ma 150 lokci dlugosci. Ile lokci ma kapitan?;150;Raczej dwa;300;Raczej dwa;4;3
4;Jakiego koloru jest czerwony maluch?;Bialego;Czarnego;Ciemnoczerwonego;Czerwonego;1,2,3;5
5;Czego nie da sie zmoczyc?;Kubka;Niczego;Wody;Swetra;2,3;4
6;Jak na imie mial Napoleon?;Adam;Napoleon;Gabrysia;Fryderyk;1,2,3;3
7;Statek ma 150 lokci dlugosci. Ile lokci ma kapitan?;150;Raczej dwa;300;Raczej dwa;4;3
8;Jakiego koloru jest czerwony maluch?;Bialego;Czarnego;Ciemnoczerwonego;Czerwonego;1,2,3;5
9;Czego nie da sie zmoczyc?;Kubka;Niczego;Wody;Swetra;2,3;4
